sample_id,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,NBR,NDBI,NDVI,NDWI
RS03_008,1710,942,1101,1618,1607,1760,1954,2124.5,1996,2076.5,0.3587474524974823,-0.07717215269804001,0.10796558111906052,-0.10459324717521667
RS03_009,2434.5,1664,1706,1985,2330,2286.5,2133.5,2115,2681,2227.5,0.23406213521957397,-0.048186883330345154,0.07004589587450027,-0.14916417002677917
RS03_010,2934,1505,634,900,771,1549,3410,4129,3759,4601,0.42819148302078247,-0.12326311320066452,0.6596026420593262,-0.6136509776115417
RS03_011,1777.5,826.5,336,474.5,345,746,2857.5,3983,3856,4286.5,0.6469834446907043,-0.3689535856246948,0.8357533812522888,-0.780856728553772
RS03_012,2956.5,1743,810.5,1106,998,1619,3081.5,3535,3168,3677,0.2901649475097656,-0.03453342989087105,0.520883321762085,-0.48245203495025635
RS03_013,694.5,400,384,415,309,508,1204,1609.5,1540,1766.5,0.5876288414001465,-0.37838441133499146,0.6657652854919434,-0.5754475593566895
RS03_014,4181,3136,3563,3296,3201,3496,3911,4230.5,4287,4396.5,0.1550586074590683,-0.012517713941633701,0.14503204822540283,-0.13068705797195435
RS03_015,2739,1859,830.5,1008,1075.5,1496.5,2083,2333,2311,2525.5,0.10839328169822693,0.08475247770547867,0.36483094096183777,-0.39258813858032227
RS03_016,2056,924.5,400.5,617.5,393.5,989,2886.5,3620.5,3708,3952.5,0.6008634567260742,-0.2866065204143524,0.808118999004364,-0.7144838571548462
RS03_017,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
RS03_018,2302,1169,447,708,570,1153,2738,3221,3090,3464,0.45104485750198364,-0.14614243805408478,0.688524603843689,-0.6271721720695496
RS03_019,1139.5,518.5,329.5,443.5,295.5,670,1947.5,2531.5,2573,2777,0.6645641326904297,-0.38612794876098633,0.7939689755439758,-0.7059506177902222
RS03_020,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
RS03_021,2782,1633,566,746,586,1301,2695,3294,3396,3706,0.35056671500205994,-0.09938491135835648,0.7056755423545837,-0.6397875547409058
RS03_022,2340.5,1330,447,680.5,595.5,1125.5,2227.5,2612,2627,2917,0.3277735710144043,-0.05767488852143288,0.6304111480712891,-0.5885109305381775
RS03_023,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
