sample_id,longitude,latitude,map_url,second_reader_class_name,second_reader_confidence,imagery_source_used,imagery_date_visible,reviewer_initials,review_timestamp_utc,interpretation_notes
RS04_003,103.8810563,1.4802836,"https://www.google.com/maps/search/?api=1&query=1.4802836,103.8810563",,,,,,,
RS04_004,102.4009863,2.4268671,"https://www.google.com/maps/search/?api=1&query=2.4268671,102.4009863",,,,,,,
RS04_005,103.399973,1.8664862,"https://www.google.com/maps/search/?api=1&query=1.8664862,103.399973",,,,,,,
RS04_006,103.5548018,2.6678037,"https://www.google.com/maps/search/?api=1&query=2.6678037,103.5548018",,,,,,,
RS04_007,103.4267945,2.2349878,"https://www.google.com/maps/search/?api=1&query=2.2349878,103.4267945",,,,,,,
RS04_008,103.5599866,2.7273158,"https://www.google.com/maps/search/?api=1&query=2.7273158,103.5599866",,,,,,,
RS04_009,103.4442094,2.0708122,"https://www.google.com/maps/search/?api=1&query=2.0708122,103.4442094",,,,,,,
RS04_010,102.4634023,2.2922714,"https://www.google.com/maps/search/?api=1&query=2.2922714,102.4634023",,,,,,,
RS04_011,103.2286821,2.1148061,"https://www.google.com/maps/search/?api=1&query=2.1148061,103.2286821",,,,,,,
RS04_012,102.9974761,2.0476767,"https://www.google.com/maps/search/?api=1&query=2.0476767,102.9974761",,,,,,,
RS04_013,103.5883313,1.4153602,"https://www.google.com/maps/search/?api=1&query=1.4153602,103.5883313",,,,,,,
RS04_014,103.752704,1.5602791,"https://www.google.com/maps/search/?api=1&query=1.5602791,103.752704",,,,,,,
RS04_015,103.7882956,2.4257201,"https://www.google.com/maps/search/?api=1&query=2.4257201,103.7882956",,,,,,,
RS04_016,102.9127746,2.5827146,"https://www.google.com/maps/search/?api=1&query=2.5827146,102.9127746",,,,,,,
RS04_017,104.1289223,1.3869098,"https://www.google.com/maps/search/?api=1&query=1.3869098,104.1289223",,,,,,,
RS04_018,104.1576902,1.4000087,"https://www.google.com/maps/search/?api=1&query=1.4000087,104.1576902",,,,,,,
RS04_019,103.7236803,1.6025915,"https://www.google.com/maps/search/?api=1&query=1.6025915,103.7236803",,,,,,,
RS04_020,103.2295485,1.9641425,"https://www.google.com/maps/search/?api=1&query=1.9641425,103.2295485",,,,,,,
RS04_021,103.6925662,2.4293019,"https://www.google.com/maps/search/?api=1&query=2.4293019,103.6925662",,,,,,,
RS04_022,103.6710251,2.5381573,"https://www.google.com/maps/search/?api=1&query=2.5381573,103.6710251",,,,,,,
RS04_023,103.6395828,2.624068,"https://www.google.com/maps/search/?api=1&query=2.624068,103.6395828",,,,,,,
RS04_024,103.622013,1.2636717,"https://www.google.com/maps/search/?api=1&query=1.2636717,103.622013",,,,,,,
RS04_025,104.0359515,1.4022875,"https://www.google.com/maps/search/?api=1&query=1.4022875,104.0359515",,,,,,,
RS04_026,104.0482731,1.3742262,"https://www.google.com/maps/search/?api=1&query=1.3742262,104.0482731",,,,,,,
RS04_027,102.4324488,2.2986192,"https://www.google.com/maps/search/?api=1&query=2.2986192,102.4324488",,,,,,,
RS04_028,102.7132505,2.5470078,"https://www.google.com/maps/search/?api=1&query=2.5470078,102.7132505",,,,,,,
RS04_029,102.4272468,2.2821377,"https://www.google.com/maps/search/?api=1&query=2.2821377,102.4272468",,,,,,,
RS04_030,103.7412434,1.3224093,"https://www.google.com/maps/search/?api=1&query=1.3224093,103.7412434",,,,,,,
RS04_031,102.9602732,2.0478469,"https://www.google.com/maps/search/?api=1&query=2.0478469,102.9602732",,,,,,,
RS04_032,104.0590771,1.5268292,"https://www.google.com/maps/search/?api=1&query=1.5268292,104.0590771",,,,,,,
RS04_033,102.3699879,2.5064385,"https://www.google.com/maps/search/?api=1&query=2.5064385,102.3699879",,,,,,,
RS04_034,103.0979754,2.3042199,"https://www.google.com/maps/search/?api=1&query=2.3042199,103.0979754",,,,,,,
RS04_035,104.1072357,1.961369,"https://www.google.com/maps/search/?api=1&query=1.961369,104.1072357",,,,,,,
RS04_036,102.6712516,2.783602,"https://www.google.com/maps/search/?api=1&query=2.783602,102.6712516",,,,,,,
RS04_037,103.5582722,2.1844645,"https://www.google.com/maps/search/?api=1&query=2.1844645,103.5582722",,,,,,,
RS04_038,102.6316927,2.114266,"https://www.google.com/maps/search/?api=1&query=2.114266,102.6316927",,,,,,,
RS04_039,102.725781,2.2185332,"https://www.google.com/maps/search/?api=1&query=2.2185332,102.725781",,,,,,,
RS04_040,103.5260591,2.2352338,"https://www.google.com/maps/search/?api=1&query=2.2352338,103.5260591",,,,,,,
RS04_041,103.4063978,2.1736716,"https://www.google.com/maps/search/?api=1&query=2.1736716,103.4063978",,,,,,,
RS04_042,103.1532924,2.277414,"https://www.google.com/maps/search/?api=1&query=2.277414,103.1532924",,,,,,,
RS04_043,104.226896,1.6659499,"https://www.google.com/maps/search/?api=1&query=1.6659499,104.226896",,,,,,,
RS04_044,102.8199576,2.6476638,"https://www.google.com/maps/search/?api=1&query=2.6476638,102.8199576",,,,,,,
RS04_045,103.2148437,2.0876272,"https://www.google.com/maps/search/?api=1&query=2.0876272,103.2148437",,,,,,,
RS04_046,103.9399145,1.8642918,"https://www.google.com/maps/search/?api=1&query=1.8642918,103.9399145",,,,,,,
RS04_047,103.6775786,1.8060964,"https://www.google.com/maps/search/?api=1&query=1.8060964,103.6775786",,,,,,,
