sample_id,dw_entropy,dw_margin,dw_max_probability,dw_entropy_full_8class,dw_margin_full_8class,dw_max_probability_full_8class,dw_entropy_partial_5class,dw_margin_partial_5class,dw_max_probability_partial_5class,dw_water,dw_trees,dw_flooded_vegetation,dw_crops,dw_built,fdp_palm_probability_2023,fdp_rubber_probability_2023,screening_score,active_score
RS05_021,0.481310368146196,0.704118,0.740139,0.481310368146196,0.704118,0.740139,0.3769205272387728,0.707032,0.740139,0.033107,0.740139,0.030589,0.028615,0.030622,0.0,0.0,6.0,
RS05_022,0.6330045133482053,0.515043,0.610553,0.6330045133482053,0.515043,0.610553,0.578738417754211,0.515043,0.610553,0.052845,0.610553,0.037007,0.09551,0.038467,0.0,0.0,6.0,
RS05_023,0.4775839308587372,0.708013,0.74182,0.4775839308587372,0.708013,0.74182,0.38362730161617514,0.708013,0.74182,0.033807,0.74182,0.032035,0.030259,0.030547,0.0,0.0,6.0,
RS05_024,0.501131462496648,0.665505,0.722768,0.501131462496648,0.665505,0.722768,0.4022132743987795,0.6789719999999999,0.722768,0.028991,0.722768,0.030278,0.043796,0.030686,0.043137,0.0,6.0,
RS05_025,0.4886266207573661,0.698715,0.734492,0.4886266207573661,0.698715,0.734492,0.3867118846491986,0.699284,0.734492,0.035208,0.734492,0.033115,0.028796,0.029973,0.0,0.0,6.0,
RS05_026,0.5033817673733989,0.675349,0.725367,0.5033817673733989,0.675349,0.725367,0.4012256070165955,0.683572,0.725367,0.027389,0.725367,0.03383,0.041795,0.030551,0.054902,0.0,6.0,
RS05_027,0.4948872684976769,0.6924,0.730433,0.4948872684976769,0.6924,0.730433,0.3880220183123027,0.69607,0.730433,0.034363,0.730433,0.030843,0.029378,0.032412,0.0,0.0,6.0,
RS05_028,0.4682029285207732,0.712774,0.746401,0.4682029285207732,0.712774,0.746401,0.3866942454999304,0.712774,0.746401,0.033627,0.746401,0.031835,0.031458,0.032086,0.0,0.0,6.0,
RS05_029,0.4907923548553868,0.691382,0.729793,0.4907923548553868,0.691382,0.729793,0.40176941879819417,0.691382,0.729793,0.031678,0.729793,0.029763,0.038411,0.034408,0.0,0.0,6.0,
RS05_030,0.4842897947097919,0.700893,0.73872,0.4842897947097919,0.700893,0.73872,0.3752275188888824,0.706385,0.73872,0.031922,0.73872,0.028512,0.029078,0.032335,0.0,0.0,6.0,
RS05_031,0.4861608408376451,0.7003710000000001,0.735539,0.4861608408376451,0.7003710000000001,0.735539,0.3894263918269954,0.700729,0.735539,0.03481,0.735539,0.033713,0.030261,0.029857,0.0,0.0,6.0,
RS05_032,0.4859194100203275,0.701787,0.736595,0.4859194100203275,0.701787,0.736595,0.38610271411295377,0.702432,0.736595,0.034163,0.736595,0.032627,0.030183,0.030085,0.0,0.0,6.0,
RS05_033,0.5026265187453638,0.6845180000000001,0.725662,0.5026265187453638,0.6845180000000001,0.725662,0.39282776481707404,0.686445,0.725662,0.033258,0.725662,0.039217,0.030129,0.02647,0.0,0.0,6.0,
RS05_034,0.4711610908636915,0.710311,0.744548,0.4711610908636915,0.710311,0.744548,0.38332571149029104,0.710311,0.744548,0.034237,0.744548,0.030578,0.032411,0.029754,0.0,0.0,6.0,
RS05_035,0.4995927208961049,0.6881539999999999,0.725911,0.4995927208961049,0.6881539999999999,0.725911,0.3982298442739542,0.69017,0.725911,0.034965,0.725911,0.030016,0.035741,0.030858,0.419608,0.0,6.0,
RS05_036,0.5734445085342627,0.5928720000000001,0.665641,0.5734445085342627,0.5928720000000001,0.665641,0.4707370122242477,0.60118,0.665641,0.025284,0.665641,0.030227,0.064461,0.043846,0.047059,0.0,6.0,
RS05_037,0.615821497891267,0.516624,0.626863,0.615821497891267,0.516624,0.626863,0.46941208898548925,0.568896,0.626863,0.029285,0.626863,0.029132,0.057967,0.035637,0.011765,0.121569,6.0,
RS05_038,0.621010249198202,0.5341769999999999,0.623199,0.621010249198202,0.5341769999999999,0.623199,0.4619907403951377,0.574892,0.623199,0.029631,0.623199,0.033185,0.048307,0.034183,0.035294,0.007843,6.0,
RS05_039,0.6089667434177054,0.548233,0.635861,0.6089667434177054,0.548233,0.635861,0.5122012350344816,0.556639,0.635861,0.026737,0.635861,0.03801,0.079222,0.040023,0.062745,0.0,6.0,
RS05_040,0.4831669439733211,0.7036220000000001,0.738894,0.4831669439733211,0.7036220000000001,0.738894,0.38397377455806564,0.7036220000000001,0.738894,0.035272,0.738894,0.030004,0.03057,0.03054,0.007843,0.0,6.0,
RS05_041,0.4776210784936001,0.7073079999999999,0.742204,0.4776210784936001,0.7073079999999999,0.742204,0.3770164633105482,0.7095779999999999,0.742204,0.032626,0.742204,0.03048,0.029362,0.030829,0.0,0.0,6.0,
RS05_042,0.4921614461822604,0.695744,0.732943,0.4921614461822604,0.695744,0.732943,0.3870418164844868,0.698913,0.732943,0.03403,0.732943,0.031197,0.030064,0.031602,0.0,0.0,6.0,
RS05_043,0.4806316670489354,0.7063809999999999,0.740914,0.4806316670489354,0.7063809999999999,0.740914,0.3795218954680177,0.707571,0.740914,0.033343,0.740914,0.029024,0.03125,0.03077,0.0,0.0,6.0,
RS05_044,0.5004428161062288,0.669863,0.723622,0.5004428161062288,0.669863,0.723622,0.36485485025322595,0.6864589999999999,0.723622,0.024602,0.723622,0.023803,0.037163,0.029328,0.258824,0.2,6.0,
RS05_045,0.4847331113554692,0.702448,0.737652,0.4847331113554692,0.702448,0.737652,0.3838785293634977,0.703932,0.737652,0.03372,0.737652,0.031161,0.029883,0.031301,0.0,0.0,6.0,
RS05_046,0.4729605421825105,0.712488,0.745644,0.4729605421825105,0.712488,0.745644,0.37901750973265447,0.712488,0.745644,0.033156,0.745644,0.030478,0.031075,0.030187,0.0,0.0,6.0,
RS05_047,0.4835518666382292,0.7002280000000001,0.736836,0.4835518666382292,0.7002280000000001,0.736836,0.38163031864639024,0.703257,0.736836,0.033579,0.736836,0.031959,0.029483,0.02977,0.0,0.0,6.0,
RS05_048,0.4529641716688564,0.727488,0.759328,0.4529641716688564,0.727488,0.759328,0.3680824182142926,0.727488,0.759328,0.029876,0.759328,0.030164,0.03184,0.029631,0.0,0.0,6.0,
RS05_049,0.6216162377414017,0.585113,0.642987,0.6216162377414017,0.585113,0.642987,0.54361662654723,0.585113,0.642987,0.057874,0.642987,0.046348,0.042251,0.053475,0.0,0.0,6.0,
RS05_050,0.4915491986628122,0.6838799999999999,0.731713,0.4915491986628122,0.6838799999999999,0.731713,0.3849291356078069,0.693332,0.731713,0.032364,0.731713,0.029143,0.038381,0.026136,0.019608,0.05098,6.0,
RS05_051,0.4839779349028744,0.70212,0.73813,0.4839779349028744,0.70212,0.73813,0.3780651539224167,0.705792,0.73813,0.032338,0.73813,0.030012,0.030197,0.030594,0.05098,0.0,6.0,
RS05_052,0.452163500011835,0.726228,0.759604,0.452163500011835,0.726228,0.759604,0.3722819537052635,0.726228,0.759604,0.032256,0.759604,0.025756,0.032533,0.033376,0.015686,0.0,6.0,
